Insulin-like peptide receptor,K05087
NAD-dependent protein deacylase Sirt4,K11414
Inhibitor of growth protein 5,K11346
Beta-glucan synthesis-associated protein SKN1,nan
Pre-rRNA-processing protein ESF1,nan
Putative uncharacterized protein,K14561
Putative uncharacterized protein,K19601
Probable cation-transporting ATPase W08D2.5,K13526
Hemicentin-2,K10848
E3 SUMO-protein ligase ZBED1,K18798
Citrinin biosynthesis transcriptional activator ctnR,nan
HTH-type transcriptional activator SoxR homolog,nan
Protein TWIN SISTER of FT,K06910
Vesicular glutamate transporter 3,K12302
Chaperone protein HscA,nan
Neutral amino acid transporter B(0),K05614
"Acyl-coenzyme A oxidase 4, peroxisomal",K00252
Tyrosine recombinase XerS,nan
Actin-related protein 5,K11672
IST1 homolog,K19476
ATP-dependent DNA helicase Q-like 3,K10902
Modification methylase BglII,nan
Modular serine protease,K01314
Mediator of RNA polymerase II transcription subunit 21,nan
Putative uncharacterized protein,K15690
Probable protein disulfide-isomerase ER-60,K08056
"Isocitrate dehydrogenase [NAD] regulatory subunit 1, mitochondrial",K00030
Lactococcin A secretion protein LcnD-like,nan
Enoyl-CoA hydratase AKT3-1,K05607
Unconventional myosin-VI,K16677
Alpha-2-antiplasmin,K04525
Ufm1-specific protease 1,K24154
Putative uncharacterized protein,K18723
Anion exchange transporter,K14453
Sodium- and chloride-dependent glycine transporter 1,K05047
HTH-type transcriptional regulator HdfR,nan
MOB-like protein phocein,K04078
Zinc metalloproteinase nas-1,K18542
Phospholipid:diacylglycerol acyltransferase,nan
Tyrosine-protein kinase SYK,K17512
Probable FKBP-type peptidyl-prolyl cis-trans isomerase FkpA,K09571
Maltase A1,K06519
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,K17686
Protein yippee-like 1,K23339
"N-alpha-acetyltransferase 25, NatB auxiliary subunit",K17973
Calmodulin-binding transcription activator 2,K21596
Pancreatic lipase-related protein 2,K16831
Homeobox protein ARX,K09452
Virulence-associated protein I,nan
Protein phosphatase 2C homolog 4,K13172
Putative uncharacterized protein,K09091
Bombyxin C-1,K04526
Mitochondrial metal transporter 2,K00616
A-factor-processing enzyme,K01408
Putative uncharacterized protein,K17302
Protein phosphatase 1 regulatory subunit SDS22,K17550
Thiamine-phosphate synthase,nan
Transcriptional regulator ovo,K09216
Osmotically-inducible lipoprotein B,nan
Mobility group protein 1A,K11295
Nonribisomal peptide synthase notE,K00142
Dual specificity protein phosphatase 12,K14819
DNA polymerase III subunit gamma/tau,K10755
Retrovirus-related Pol polyprotein from transposon 17.6,K13356
Protein sax-3,K06754
Putative uncharacterized protein,K06773
Alanine dehydrogenase,K00323
Histidinol-phosphate aminotransferase,K00817
Slit homolog 1 protein,K06839
Prophage integrase IntE,nan
ATP-binding cassette sub-family A member 8,K05648
Mitochondrial division protein 1,K24185
Ropporin-1-like protein,K00873
Bromodomain-containing protein 1,K11348
"Aldehyde dehydrogenase, dimeric NADP-preferring",K00128
Inner membrane transporter YgjI,nan
Putative uncharacterized protein,K04597
Transmembrane protein 198-B,nan
Trypsin alpha,K08663
Ras-related protein Rab-32,K07918
Cadherin EGF LAG seven-pass G-type receptor fmi-1,K16506
tRNA N6-adenosine threonylcarbamoyltransferase,K01409
Protein TANC2,K21440
La protein homolog,K10460
Pre-rRNA-processing protein crb3/ipi3,K14829
LON peptidase N-terminal domain and RING finger protein 1,K16272
Uracil phosphoribosyltransferase,K00876
Transcription factor E2F5 (Fragment),K04682
Catabolic 3-dehydroquinase 2,nan
Putative 2-hydroxyacid dehydrogenase HI_1556,K04496
Oryzain gamma chain,K01374
Iron uptake protein A1,nan
Phosphopentomutase,K03783
Sorbitol-6-phosphate 2-dehydrogenase,K13370
Multiple sugar-binding transport ATP-binding protein MsmK,nan
Nitrogen metabolite regulation-like protein bik4,nan
Cation efflux system protein CzcA,nan
Acetylornithine deacetylase,K13049
Structure-specific endonuclease subunit slx1,K15078
Metabotropic glutamate receptor 2,K04623
Putative SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 1,K15711
"Probable endo-1,4-beta-xylanase B",nan
Non-canonical non-ribosomal peptide synthetase FUB8,K13356
Putative uncharacterized protein,K03671
Calcineurin B homologous protein 1,K17610
B-cell lymphoma 3 protein homolog,K09258
5'-3' exonuclease PLD3,K16860
Putative uncharacterized protein,K18083
Protein bfr2,nan
Trypsin iota,K09636
E3 ubiquitin-protein ligase PPP1R11,K18703
DNA polymerase I,K02335
Probable multidrug resistance ABC transporter ATP-binding/permease protein YheI,nan
Trypsin-1,K09463
Maltase 1,K06519
Long polar fimbria protein A,nan
sn-glycerol-3-phosphate import ATP-binding protein UgpC,nan
Rhesus-like glycoprotein A,K06580
Sequestosome-1,K20032
3'3'-cGAMP-specific phosphodiesterase 1,nan
Putative biopolymer transport protein ExbB-like 2,nan
Actin-binding protein,K06106
Tetraspanin-4,K17350
Putative uncharacterized protein,K08628
Coiled-coil domain-containing protein 180,nan
Putative uncharacterized protein,K17662
"Sucrase-isomaltase, intestinal",K12316
Adhesion G protein-coupled receptor E5,K08465
PR domain zinc finger protein 15,K22534
Adenylyltransferase and sulfurtransferase uba4,K11996
3-oxoacyl-[acyl-carrier-protein] reductase FabG,K14729
Histone acetyltransferase KAT5,K11304
Histone-lysine N-methyltransferase ash1,K06101
Putative uncharacterized protein,K00457
UDP-glucose:glycoprotein glucosyltransferase 1,K11718
Vacuolar amino acid transporter 3,nan
Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY,K09667
3-hydroxy-3-methylglutaryl-coenzyme A reductase 1,K00021
Pyrimidine-specific ribonucleoside hydrolase RihA,K01239
Chaperone protein ClpB 1,nan
L-aspartate oxidase,nan
SR-related and CTD-associated factor 4,K13191
Transcription factor Sox-8,K18435
Histone deacetylase 8,K11405
PHD finger protein 12,K11658
Putative protein p41,nan
Hemolymph lipopolysaccharide-binding protein,K10068
PDZ and LIM domain protein Zasp,K21877
"Cadmium, zinc and cobalt-transporting ATPase",K01534
Amidase 1,K01426
Probable cytochrome P450 313a1,nan
Maintenance of telomere capping protein 1,nan
UDP-glucuronosyltransferase 3A1,K24103
Probable uridine nucleosidase 1,K01239
RNA-binding protein 38,K03102
Ubiquitin carboxyl-terminal hydrolase 46,K11854
Putative uncharacterized protein,K02583
C2H2 finger domain transcription factor crzA,nan
TM2 domain-containing protein 2,K09488
Purine nucleoside phosphorylase ORF3,nan
Phenoxybenzoate dioxygenase subunit beta,nan
Probable serine/threonine-protein kinase PBL18,K04733
Zinc finger and BTB domain-containing protein 41,K09222
Pyrrolidone-carboxylate peptidase,nan
Probable proteasome subunit alpha type-2,K02726
Uncharacterized protein K02A2.6,K20730
Type IV pilus assembly protein TapB,nan
BMP-binding endothelial regulator protein,K24517
Probable glucose transporter HXT5,K08144
Peroxiredoxin Bcp,K20011
Fujikurins biosynthesis cluster transcription factor FFUJ_12243,nan
Guanine nucleotide-binding protein subunit beta-1,K04536
Heterogeneous nuclear ribonucleoprotein 87F,K12741
Serine/threonine-protein phosphatase 5,K04460
L-rhamnose-1-dehydrogenase,K13370
Phenoloxidase-activating enzyme,K20673
Uncharacterized protein YdhJ,nan
4-hydroxybenzaldehyde dehydrogenase (NADP(+)),nan
"Betaine aldehyde dehydrogenase, chloroplastic",K07249
Putative uncharacterized protein,K16175
Chitin synthase 6,K00698
Nonribosomal peptide synthetase 7,K10643
Zinc finger protein 2,K22534
"KH domain-containing, RNA-binding, signal transduction-associated protein 2",K17843
CAAX prenyl protease 2,nan
Efflux pump FUB11,K08209
Lateral signaling target protein 2 homolog,K17603
Putative uncharacterized protein,K10226
Serine/threonine-protein kinase PAK mbt,K05736
D-galactonate transporter,K23677
Probable RNA-directed DNA polymerase from transposon X-element,K10848
Probable apyrase 4,K01511
Methylthioacryloyl-CoA hydratase,K05607
Serine-enriched protein,nan
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2,K04955
Oxysterol-binding protein homolog 4,K20465
Putative enoyl-CoA hydratase/isomerase YngF,K07511
Kallikrein 1-related peptidase b24,K01312
"Isocitrate dehydrogenase [NADP], mitochondrial",K00031
Methionine aminopeptidase 2-2,nan
LON peptidase N-terminal domain and RING finger protein 1,K10692
Transposable element Tc3 transposase,K10843
Pre-mRNA-processing factor 19,K12662
Thioredoxin reductase-like selenoprotein T homolog CG3887,K15255
Muscleblind-like protein 1,K14943
tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit trm61,nan
Uncharacterized protein YwhH,nan
Regulator of telomere elongation helicase 1,K15362
Oligopeptide-binding protein AppA,nan
Short chain dehydrogenase/reductase astE,K10402
Adhesion G protein-coupled receptor E2,K12236
Probable RNA-directed DNA polymerase from transposon BS,K13526
tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit trm82,K15443
Penicillin-binding protein 2X,nan
Serine protease svh-1,K01324
HTH-type transcriptional regulator PtxR,K21698
EF-hand domain-containing protein D2 homolog,K23922
Peptide transport system ATP-binding protein SapD,K05683
"Acylglycerol kinase, mitochondrial",K09881
Uncharacterized solute carrier family 35 member C320.08,K15287
Transcription factor GATA-4,K09183
Homeobox protein EMX2,K09317
Attacin-E,nan
"ATPase synthesis protein 25, mitochondrial",nan
Serine/threonine-protein phosphatase 2A activator,K17605
Uncharacterized HTH-type transcriptional regulator YdeF,nan
Taurine hydroxylase-like protein SAT17,K00471
Dipeptide transport ATP-binding protein DppF,K02021
Putative uncharacterized protein,K14771
Protein SREK1IP1,K11493
Ubiquinol-cytochrome-c reductase complex assembly factor 1,K17662
Teichoic acid poly(glycerol phosphate) polymerase,K03857
UPF0391 membrane protein Avin_10980,nan
Cytochrome P450 monooxygenase apf8,K07424
Citrate/oxoglutarate carrier protein,K15112
Testis-expressed protein 264,nan
Venom serine protease 34,K16458
Putative antitoxin HigA2,nan
Uncharacterized oxidoreductase C19A8.06,K11153
Uncharacterized MscS family protein YkuT,K16052
Retinol-binding protein pinta,nan
FAD-linked oxidoreductase DDB_G0289697,nan
Cholera toxin transcriptional activator,nan
Chimeric ERCC6-PGBD3 protein,K17915
Uncharacterized protein YGL159W,K18258
Putative uncharacterized protein,K05762
"39S ribosomal protein L23, mitochondrial",K02892
Cysteine proteinase 2,K01365
Oxaloacetate decarboxylase,K01841
Phenolphthiocerol synthesis polyketide synthase type I Pks15/1,K23164
Putative uncharacterized protein,K00273
Ornithine aminotransferase,K00819
Putative uncharacterized protein,K16798
"Probable 28S ribosomal protein S23, mitochondrial",K17402
Putative uncharacterized protein,K11494
Putative transposase aq_aa05,nan
Transmembrane protease serine 7,K01312
E3 ubiquitin-protein ligase DCST1,K22375
Multifunctional non-homologous end joining protein LigD,K10747
Pyrimidine operon regulatory protein,nan
Phosphonates import ATP-binding protein PhnC,K05680
Protein flightless-1,K12404
Mucin-2 (Fragment),K10955
Kallikrein 1-related peptidase b8,K23011
"NADH-ubiquinone oxidoreductase 40 kDa subunit, mitochondrial",K03953
Apolipophorins,K05669
Cuticlin-4,K01487
Neurogenic locus notch homolog protein 1,K02599
"Dynein assembly factor 1, axonemal",K19750
Putative uncharacterized protein,K09227
Uncharacterized protein K02A2.6,K17854
Protein PRRC1-A,nan
Putative uncharacterized protein,K00943
Regulatory protein AsnC,nan
Semaphorin-2A,nan
KICSTOR complex protein ITFG2,K23296
Putative uncharacterized protein,K09198
Putative uncharacterized protein,K09341
Glutamate/aspartate import permease protein GltJ,K00274
Putative uncharacterized protein,K09643
Ribonucleoside-diphosphate reductase subunit alpha 1,K10807
WD repeat-containing protein 47,K18953
Glucose-6-phosphate 1-epimerase,K01792
Probable gamma-glutamyl phosphate reductase,K12657
Nucleoporin POM34,nan
SUN domain-containing protein 2,K21876
Non-reducing polyketide synthase ATEG_07661,nan
60S ribosomal protein L38,K02923
Ubiquitin-like modifier-activating enzyme atg7,K08337
UPF0053 protein YegH,nan
Low-density lipoprotein receptor (Fragment),K06734
Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase,K00721
TBC domain-containing protein kinase-like protein,K17544
Protein TOXD,nan
Beta-hexosaminidase subunit beta,K20730
SR-related and CTD-associated factor 8,K13191
Lipoprotein NlpE,nan
Mitochondrial protein import protein MAS5,K09503
Putative uncharacterized protein,K00072
Anaphase-promoting complex subunit 3,K03350
Probable ATP-dependent transporter SufC,K05655
Rab GTPase-activating protein 1-like,K20284
"28S ribosomal protein S31, mitochondrial",K17410
Protein-ADP-ribose hydrolase,K23518
Aclacinomycin methylesterase RdmC,nan
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,K13811
Tryptophan--tRNA ligase,K03259
Putative uncharacterized protein,K14946
"Peptidyl-tRNA hydrolase 2, mitochondrial",K04794
Cytochrome P450 3A31,K14999
Alpha-amylase 3,K01187
Putative uncharacterized protein,K14959
Low-density lipoprotein receptor-related protein 2,K03068
Leukocyte elastase inhibitor C,K13963
Putative G3BP-like protein,K17265
Putative uncharacterized protein,K06248
"1,3-propanediol dehydrogenase",nan
Glutamyl-tRNA(Gln) amidotransferase subunit A,K01426
UDP-glucuronosyltransferase 2A3,K24103
Putative uncharacterized protein,K13509
Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1 1,K09880
C2H2 type master regulator of conidiophore development brlA,K01923
Uncharacterized protein C12G12.12,K00772
Protein GVQW3,K11585
Peroxide operon regulator,nan
3-oxoacyl-[acyl-carrier-protein] reductase FabG,K15734
Venom allergen 5 (Fragment),nan
Protein DDI1 homolog,K23797
Serine protease SSP1 (Fragment),K01310
Exportin-6,K14289
Ribonuclease H,K04860
"Lipopolysaccharide 1,2-N-acetylglucosaminetransferase",nan
Protein phosphatase 1 regulatory subunit 7,K17550
Inorganic pyrophosphatase,K01507
UPF0173 metal-dependent hydrolase SA1529,nan
60S ribosomal protein L18-A,K02883
Uncharacterized protein C7orf50 homolog,nan
Glutamine transport system permease protein GlnP,nan
D-allose-binding periplasmic protein,nan
FAD synthase,K00967
Quinone-dependent D-lactate dehydrogenase,K11259
Putative zinc finger protein ZK686.5,K09228
ER membrane protein complex subunit 7 homolog,K23568
Protein slit,K06839
Putative uncharacterized protein,K15309
STIP1 homology and U box-containing protein 1,K09561
Probable glycosyl transferase Gly,nan
N-benzoylphenylalaninol synthetase apmA,K23617
